C1,C2,C3,C4,C5,C6,C7,C8
1.2809031953298395,-0.297209956910747,-41.578060245671224,-0.6750284119464917,1.592337196821074,-32.25221796536836,-48.18264035770913,-4.6883935049059895
9.944341363942717,-2.477608103638391,-319.90628326096913,-5.422095397499527,12.400238971597862,-248.3406005450975,-370.6737162341668,-36.050829696862756
37.65307996501676,-10.162042603348542,-1197.9082709155864,-21.361037894031483,47.11403282645938,-930.8059691957241,-1387.7817394048157,-134.87143962239895
94.71845770884563,-27.717030137736362,-2976.26095910899,-56.0317631335236,118.9433080835638,-2315.098895351979,-3447.3719646936916,-334.7203901272369
181.3695103892861,-57.1484388402204,-5628.607734447551,-111.67633364458062,228.53813213430035,-4382.977965090972,-6518.334204556451,-632.2794473752749
285.1008372503938,-95.67325467708713,-8747.405628545719,-181.95235885467892,360.3604717625681,-6818.4453073419445,-10128.363854281752,-981.6078640108052
384.28653500236,-135.94998784055383,-11672.18132479059,-253.15924650149387,487.0879657743871,-9106.511084843669,-13512.77415472509,-1308.7426050180786
454.553670306022,-168.50662492936837,-13679.147815457141,-308.50433374513995,577.70361785494,-10681.342261669524,-15833.945138265735,-1532.8405347500127
474.95943187809064,-184.47348974044826,-14157.644526501013,-332.66168188187436,605.3728603320257,-11064.646583523241,-16385.38864890535,-1585.7332927695113
432.3281727769326,-177.4710385388326,-12734.921324904733,-314.99104861217705,552.9945158605788,-9963.523122235772,-14736.08713060912,-1425.819347660029
323.3679722563608,-144.64892885181126,-9336.736345936071,-251.29807209123211,415.9991492192518,-7318.101854912502,-10800.57041518667,-1044.9054189134454
154.80458370636407,-87.10049200457321,-4187.444312055241,-144.38132411417635,202.6548747593639,-3302.023314521429,-4838.923840772792,-468.2578731420284
-58.052771295115086,-9.634057495912762,2237.9879195022586,-3.3921799594849436,-67.69685379271912,1714.7005950708328,2598.8415035928983,250.84780067936404
-293.8753297360416,80.12049860812967,9293.636913876211,157.8583891509896,-367.9358178396497,7227.856999829662,10765.007011252612,1040.1337766140052
-528.473359766926,172.9702957330399,16256.724609263929,323.0954546133478,-667.2269456351589,12672.667880831199,18823.03536345995,1818.8304218343092
-737.9648192595563,259.38423397458916,22420.74340233189,475.68162235916685,-935.0706535096127,17496.59464301794,25955.34332996989,2508.02719532916
-901.5420617089442,330.5822242410252,27175.930948001936,600.4535585085791,-1144.8439749194388,21222.22954661784,31456.44162621385,3039.646630509531
-1003.5953691601275,379.5317293159073,30069.615134555363,685.340838625403,-1276.52528598548,23494.632005599804,34802.73162026736,3363.181775427955
-1034.9835105157222,401.6815656762758,30842.523879027285,722.5663638676469,-1318.3106987109825,24109.99089551219,35694.45421212879,3449.741336321045
-993.382544606538,395.21249184011054,29440.34727542504,709.1247176690988,-1267.059839281951,23024.797622835453,34069.03481043779,3293.3570420480314
-882.911312991419,360.90495721468596,26002.921488759628,646.6009052570673,-1127.8635682215445,20347.380491086835,30088.567747052915,2909.794248297889
-713.2937678080924,301.8962815563943,20835.647435703,540.6583427047258,-913.0325407902653,16315.639444421286,24106.714614644032,2333.303081897312
-498.6643060354344,223.34750748042848,14368.570142820778,400.29638112559314,-640.5718367656633,11265.239093023849,16621.290521950206,1611.9104181170699
-256.02021296989756,131.83072256191608,7108.524737139225,236.76616395677465,-332.14770207268356,5592.243218038042,8218.865594548808,801.9965298032671
-3.456197872712399,34.485874482686775,-410.29796565124144,62.28575676427909,-10.80253064142359,-285.6789906569231,-482.40224022498927,-37.12368509898551
241.4830447970543,-61.71421019143043,-7672.354924473244,-111.06065130391043,301.1169521731121,-5965.3121979958805,-8885.973080621232,-848.1749671087205
463.1186500527441,-150.4471522471378,-14219.553278474461,-272.116817920747,583.616082921716,-11088.170063576754,-16461.842032704342,-1580.1982933037625
648.6585022468007,-226.44563886313446,-19680.737091724426,-411.35541934203496,820.3798592542403,-15363.543342569095,-22780.66284420688,-2191.851768010449
788.9358084025292,-285.8782537144202,-23790.83897162773,-521.5377059562321,999.733288426731,-18583.631725710944,-27535.861423964907,-2653.510600946871
878.751057067009,-326.502812656498,-26399.330704880053,-598.067977764029,1115.0520888935228,-20630.265898614693,-30553.369993516328,-2948.156150851605
916.7699194429424,-347.51755349952646,-27468.57722064389,-638.9333286114054,1164.6088491210637,-21473.552745951532,-31789.728123340963,-3071.238271168164
905.1347933099734,-349.3547757804911,-27063.840818241726,-644.4865192725832,1151.0977851936148,-21164.000172572425,-31320.530083999187,-3029.6803212944833
848.9538146065955,-333.5845296613446,-25337.14456463164,-617.2554706675465,1081.0011513443792,-19820.0148299756,-29321.72919737041,-2840.1334562826796
755.647165179847,-302.76134679651784,-22506.967888521747,-561.6143955843804,963.724524089818,-17612.147286030195,-26046.123985911865,-2526.6923469695344
634.1335458724886,-260.081290811046,-18835.68079569431,-483.20117849621306,810.5282136219249,-14745.388916693308,-21797.2805956516,-2118.3927092291788
494.00345161207105,-209.02898676447901,-14606.87282167012,-388.32450869207236,633.4997735781445,-11441.346816872021,-16903.342172331435,-1646.74206817781
344.8293038590886,-153.19325383524583,-10104.51578470997,-283.5844886593204,444.7223443753113,-7922.011046138746,-11692.906008965883,-1143.4041362401574
195.60166017425811,-96.12538373532422,-5595.08055962171,-175.54937068183736,255.55828338912542,-4395.871886474074,-6474.294861301041,-638.1416160635954
54.20629909872935,-41.058738909360336,-1313.1497521110382,-70.28790784113161,75.95541897688976,-1046.5959044204071,-1518.9173643022111,-157.19454012517988
-73.02544995507996,9.392617945704892,2548.9385031665875,27.073700790818826,-86.11458638871835,1975.227483192942,2950.6774217523202,277.77990804268774
-181.53886161237367,53.3179673120831,5847.021460251305,112.51025519847641,-224.88870465402547,4556.722853449094,6767.661132415309,650.3023813573213
-268.531541978392,89.43608740339366,8486.898878751566,183.07134063344517,-336.76007605099494,6624.020309706848,9823.023568114688,949.3493024466642
-332.8265424014612,117.08875980134643,10422.786150796359,236.92770870245613,-420.1346615877818,8141.071151175289,12063.780520506572,1169.2993834658598
-374.6718323908462,136.2525650072742,11653.089792824585,273.43784334279667,-475.1799830887859,9106.472038364689,13488.054331747802,1309.5292901729397
-395.42475625108153,147.37759597377027,12213.950009171967,293.0062969294551,-503.41731254830836,9548.408110179322,14137.605934586081,1373.7524201708848
-397.20759287431457,151.13312719362418,12171.311417054649,296.80002348973085,-507.31803854913596,9518.316532893052,14088.700401345332,1369.2118712891167
-382.6564496836969,148.30301009629113,11612.565982017846,286.59449983041986,-490.048417014012,9084.331559741579,13442.447483187318,1305.7790260885188
-354.7482501728502,139.82449755980375,10638.453671459794,264.73658438369597,-455.28042520521296,8325.0790889153,12315.398862659764,1194.986179916303
-316.5905298863492,126.745163919326,9355.423000012814,233.96260266833244,-406.9122930038895,7323.742618651014,10830.700979129673,1049.0959941957024
-271.17025445091485,110.07603200344623,7868.744800848923,197.0652256984204,-348.7544451682668,6162.567933053579,9110.162934950662,880.3275083962453
-221.21432667909332,90.770490468273,6276.943370224403,156.68793546597485,-284.39597666999816,4918.4744979210855,7267.827294244589,700.2177196542308
-169.22796352653273,69.87267904896743,4667.8152959326735,115.31016725152348,-217.2586305205108,3660.073416331838,5405.325258041445,519.0287796383919
-117.54818641020165,48.570213871429296,3115.7517359336207,75.17417531969197,-150.57947537233758,2445.646245475728,3608.7488490940077,345.2679178151098
-68.27381769829665,28.031265169995365,1680.0868060905975,38.07811000643239,-87.22306956664511,1321.7424715390428,1946.7622484748524,185.48226285620126
-23.155217298942507,9.24323324871686,404.5796718630562,5.286326721778593,-29.511537030405254,322.68300181907233,470.02730840205675,44.33008258468454
16.452935452741304,-7.001364149748788,-681.9451317716324,-22.337974607109977,20.82137532424354,-528.8623513958693,-788.073450823094,-75.23172508316287
49.60391922885211,-20.115153170321566,-1564.234052160281,-44.22945890234619,62.63488732959828,-1220.7411933900653,-1809.877822802293,-171.75993056002764
75.77705065970486,-29.825072350824897,-2238.9636817517585,-60.206309494798205,95.38661379579968,-1750.1381614640509,-2591.5205143481453,-245.12022336084462
94.85262332298805,-36.21389499687996,-2712.829008875888,-70.53230134855139,119.05672523678075,-2122.1904940686077,-3140.695564246457,-296.23977663331465
107.014395627107,-39.57409745493405,-3000.2820614137445,-75.76759363044933,133.9856367504367,-2348.155393916466,-3474.0660422872315,-326.8663640392868
112.68499691495622,-40.26642631839217,-3121.2408807673255,-76.5865757731755,140.7971754644701,-2443.52033158079,-3614.6511017936646,-339.35186069296765
112.55449249967442,-38.75035253628956,-3099.168581173133,-73.76870157336717,140.44637243626772,-2426.568847615515,-3589.5907695407,-336.4201655204511
107.57166492933526,-35.62196891100114,-2959.458616642152,-68.21878674343857,134.17989472177638,-2317.2309534007095,-3428.243934980265,-320.9360489389219
98.7875991864509,-31.473040394940167,-2727.8665860985434,-60.819512916434675,123.30901745964597,-2135.794787195272,-3160.385223385901,-295.75870603063595
87.15764155494547,-26.715092749501355,-2429.118338288859,-52.26606685575139,108.99064688479737,-1901.6733130704415,-2814.6328706413456,-263.69390484217865
73.49128836421879,-21.607373577441304,-2086.02824796252,-43.11252519451238,92.22536831419126,-1632.7270323283908,-2417.4260526992744,-227.41880331953402
58.546443527169274,-16.405950038582734,-1719.0675303002024,-33.90404867965862,73.98259433746354,-1345.0453132566777,-1992.4884232869817,-189.29772053733137
43.08646157600541,-11.377321494228388,-1346.0234125793281,-25.133959934168082,55.22536217512163,-1052.6648849700457,-1560.4278353774769,-151.2053497839749
27.833915217333605,-6.697573809230717,-981.6969128570217,-17.100196501585284,36.83308850108816,-767.2050681219159,-1138.4135341950696,-114.50122211175778
13.427717242486587,-2.4651492297401543,-637.8966378168348,-9.92214776115483,19.575558269111227,-497.86100016398456,-740.1660318696653,-80.12099076830023
0.4316657041240929,1.179355160963615,-323.7170852599021,-3.682670563208464,4.1339609592283235,-251.75300398941022,-376.2403737460749,-48.65629648601136
-10.69966014041238,4.05811146663409,-45.75766200998555,1.5576867362927904,-8.975378357880667,-34.12105665573912,-54.27078157749109,-20.42444483613376
-19.70693876369476,6.092003253002333,191.80546088106956,5.863363255847547,-19.520882306568346,151.74325112963825,220.9107471927106,4.410225652115341
-26.523826247790627,7.323688208896681,386.9947041517588,9.392907749215778,-27.51105602163067,304.355644740273,447.00150817995393,25.73499549615117
-31.16938959488944,7.799496667795782,539.5638543858836,12.229830903817906,-33.03136921115422,423.5525298576917,623.7198629215098,43.49076993801659
-33.669209325372826,7.537363786129588,650.6093278291157,14.348334839233091,-36.16788749852437,510.13704226570576,752.370239004979,57.73296969619487
-34.07844849639499,6.638924322045735,722.4250508478798,15.76458947759406,-37.059065893543114,565.8819280432562,835.6411018463157,68.63318899152303
-32.553155221444804,5.344909428420987,758.3394368985212,16.596945841274977,-35.964350274200605,593.4722682266956,877.3895607721774,76.37561853388439
-29.38635366552644,3.9355674234556544,762.3574281192498,16.935424646167437,-33.26995586289272,596.1249907341224,882.2473442984093,81.05910134245737
-25.017954610560274,2.648242702151124,738.8506218424071,16.773320001550726,-29.48525662823336,577.2680046556484,855.2813773898843,82.69649923388761
-20.018548024969572,1.7116540163829057,692.4860470086234,16.12838988836598,-25.215790863504886,540.5691226511359,801.8882666914052,81.28399706045862
-14.96831678929813,1.3288638817277907,628.1532493439585,15.12587974254347,-20.998007701862566,489.94765497223324,727.6913840491719,76.90966759039306
-10.255336686197426,1.5264539255428553,550.6644965692793,13.892163844167756,-17.06876653960486,429.2358552941962,638.2261304847559,69.8849235074391
-5.975288571778251,2.0858574793098774,464.45485185333376,12.462906917521362,-13.321503640760692,361.83985498696114,538.6294014280074,60.81923133861377
-2.0540975347044497,2.7127159405907073,373.5682631323139,10.87508594541138,-9.534292663762825,290.81745341908857,433.6046473537264,50.521675577001666
1.5498108720104375,3.235703604392681,281.75725862209384,9.253481013699014,-5.614871710265713,219.09228057687227,327.49794386157555,39.76696669876287
4.784112300238833,3.5945188324046917,192.37687863559088,7.699544038949054,-1.6252134193019676,149.32953552759153,224.1819064776921,29.13145511754039
7.560314883128721,3.737930457133145,108.18142846465236,6.159797360508705,2.299155313133139,83.65925474461406,126.85143801743986,18.99856159016542
9.780637222143884,3.6495766633044417,31.33697524286204,4.506989583538495,5.958010538845561,23.718452444884154,38.02943618748565,9.63061969837879
11.330267430975347,3.414796583991302,-36.42512584027816,2.6971771972949394,9.089415215559294,-29.11784150045689,-40.288952984680506,1.199782314631676
